essay_id	essay_set	essay	essay_score	Age	CEFR level of test	Coherence/Cohesion	Gender	Grammatical accuracy	Mother tongue	Orthography	Overall CEFR rating	Sociolinguistic appropriateness	Test language	Vocabulary control	Vocabulary range
LON0611004B	describe a photo: swimming in the sea - ID: A2PS0202_more	"Tady jeDavid a svůj syn Martin. David a Martin jsou v moře v Francie blizko Saint Malo. Maji krasně rodinny dovolenou za dvé tydny. Martin rad moře a proto kazdy rano cely rodinu plavi na moře. Je dobre legračni -unreadable- Maji na sobě jídlo a neco piti pro oběd. Oba David a Martin jsou stástný protoze v doma David ma moc prace a jenom malý čas pro jeho rodinu ale v dovolená je jiny, zadny pracé a moc čas pro rodinu. Řikaji ze cheme bydlet v Francii cely rok proto že Francie ma  dobre jídlo a počasi. Martin reka ""Takinku je lepši než u nás!"" Zitra musi jet  domu ale dneska všekno je nejlepší .."	2	4049	A2	A2	male	A2	English	A2	A2	0	Czech	A2	A2
PHA0210001	describe a photo: woman sitting at the window - ID: A2PS0200_zena	Na obrázku vidím nějakou ženu, která sedí a divá v okno. Žena je Češka a jmenuje se Kateřina Svobodová. Je v mistnosti a odpočivá. Kateřina se narodila v Olomouce, ale teď bydlí v Praze. Kateřina je hezká a asi ji 35 let. Vystudovala sociologie a filosofie a teď pracuje na univerzitě Karlově. Je vdaná, má manžela Petra a dceru Annu 7. let. V tento moment Kateřina myslí co bude nakupovat k narozeninam sve kamaradky. Kateřina má ráda knihy a libi se ji detektivní povidky. Na procházku ráda chodí do parku. Nemá psa, ale má kočku Angelu.	2	2029	A2	A2	female	A2	Russian	B1	A2	0	Czech	A2	A2
PHA0112006A	write an email to a hotel - ID: A2PS0101_hotel	"Dobrý den,
potřebovala bych objednat jeden pokoj pro dva v termínu 26. února. Ráda bych pokoj se socialním zařízením, s televizí a možností připojit se k internetu.
Poslete mi prosím, informace o stravovaní a možnosti využití lyžařské školy ve vašim středisku.
Chtěla bych se zeptat, jestli máte v předem uvedeným termínu volný pokoj a kolik stojí.
Zajimalo by mě ještě jestli je možné parkovat vedle chaty.
Předem děkuji za informace.
S přáním hezkého dne,
Marie Eva Nováková"	3	3039	A2	B2	female	B2	Other	B2	B1	B2	Czech	B2	B1
PHA0709008	write an essay: The school is the basis of the life - ID: B2PS0200_skola	Dneska být vzdělání je velmi duležité pro život člověka. Žiju v Americe a tam bez vysoké školy si těžko seženu pořádnou práci. Mam par kamarádu které se na to vykašlaly a od nǐch ted jen sliším jak nadavaji na sebe a na rodiče že je tam nedonutily. Ve škole se učíme základ, bez kterého je velmi težké pokračuvat dál v životě. Mužu postavit dům bez základu ale dlouho nevidṙží stát. Přijde bouřka nebo nejaká vážná událost a bude to s cela jasné že tam neco chybí. Přesne tak je to s tou školou. Hlavně ted,  Když se řítíme do budoucnosti, musime dbát na tom  abyse každy učil co nejvíc.  čím dal tím víc přecházime hranice různých zemý a musime umět jiné jazyky, znát nové pravidla, a chápat postoje lídí s kterymi  musíme souhlasit. Bez tech informacích se už dnes neobéjdeme a potřebujeme je víc a víc. Ve škole se tohle vše naučíme abychom se mohly od života učit dál.	4	2029	B2	B2	male	B2	English	B1	B2	0	Czech	B2	B2
PHA0610015	write an essay: More people know more - ID: B2PS0201_hlava	"Víc hlav víc ví
Toto přísloví je dávného řeckého původu a existuje skoro ve všech jazycích. Celkem souhlasím a ním a myslím, že jeho význam zdůrázňuje důležítost komunicace a dohody mezi lidmi. Nejdřív chtěla by říct, že kazdý člověk není idealní a občás se omyluje a možna, ze prostě nebere v úvahu nějaké záležítosti. Tedy, když se lidé scháží a projednávají se o něčem, můžou dojít k nejlepšímu závěru, který bude obsázovat všechny nabídky a názory. Kromě toho, je lehčí pro člověka, když se nebere na sebe všechnu odpovědnost, a dochazí se k kolektivnímu rozhodnutí. Tak se člověk nebude trápit vẙčítkami svědomi, i když něco půjde špátně. Ačkoliv smlouva hromády je důležítou, občas přemíra názorů může zavádět rozhodnutí a způsobit vraždu mezi kamarády. V teto situaci ředitel má vyskytnout své moci a samostatnost aby došli nějakého závěru. Četla jsem jednou, že kterákoliv sněmovna nemůže mít víc, než 11 členů. Když jsou víc už ta sněmovna není praceschopná. Takže, vždy je dobře když jsou lidé, kteři můžou doporučit a na kterých se pokládaš. Ale vždy poslední rozhodnutí má udělat jeden člověk, protože jenom on ví, co potřebuje a co jemu chybí, co chce a čeho se vyhýbá ve svém žívotě. A tedy, víc hlav víc ví, ale dobře, když jedna hlava rozhoduje."	3	2029	B2	B2	female	B1	Russian	B2	B1	0	Czech	B1	B2
0923	answer to the email of Jana - ID: 2_Jana	"Ahoj Jano, 
děkuji Ti za tvůj e-mail!  Mám se dobře, ale studium je stres. Máme hodně zkoušek. Já mám zkousky z  matematce a z  češtině gramatice. To bude moc těžké, myslím. 
Ale se těším,  že  můžu přijít na tvoji party. Teď  jsem ve stresu, ale s květne mám moc čas. Proto chtěl bych zůstávat o celého víkendu a vidět město. Tak, jak přijdu do tvého býtu? Můžeš dávat mi tvoji adresu?  S jakým metrem musím jet, kolik stojí jedna jízdenka? 
Těším se moc na party. To bylo by vyborně, kdybych mohla mluvit jenom česky na celý party! Co si přeješ vlastně? Můžu prinášet jinak ještě něco? 
Přeju Ti a Petrovi hezké dovoleně v Itálii! 
Měj se moc hezky!Ztratím ahoj!
Sabine"	3	not reported	B1	B1	male	B1	German	B1	B1	B1	Czech	B1	A2
PAR1011018	write an essay: No pain no gain - ID: B2PS0202_kolace	"Lidé občas myslí, že její práce se nevyplatí, nebo že v životě stači talent = bohužel - a nebo radějí řekneme bohudík - to není pravda!
Proč si myslíte že člověk trápí 10 až 20 let ve škole? Abi se naučil že se v životě člověk zlepšuje rok po roce, a to tež i pozdějí během své karieře. Musí člověk ""makat"" abi dal svému životu do opravdy smýsl, abi něco za to dostal_
Nějaký lidé si myslí že stači v životě talent, a že tím budou vždy uspěsný. Ale pravda je že talent a práce fungují v spolu. Talent který není použítý nedá nic konkrétniho, musí se s teho něco vytvořit.
Navíc, důležité je se naučit že se něco vyplatí, a že to ne spadne samo z nebe.
Na závěr: liný člověk není zajimavý, ten který spoléha na ostatných nebo na svuj talent taky ne. Člověk si musí vyrobit svoje kolače, vědět jak je dělat a taky umět si ho pak vychutnat = pro to musí člověk celý život dřít a věřit sebe."	4	1519	B2	B2	male	B2	French	B1	B2	0	Czech	B2	C1
PHA0509043	write an essay: Everywhere well but at home the best - ID: B2PS0200_doma	"Všude dobře, doma nejlépe
To je úplně správné přísloví. Několikrát ve svém životě každý z nás byl v zahraničí. Někdo žije v cizině i teď. Ale si myslím, že každý si pamatuje dům, kde on byl se svou rodinou, ulice, ve které se setkal se svou láskou, město, ve kterém se narodil, stát, část kterého je.
Několik studentů studuje se mnou v Praze. Nemůžu říct, že Praha se mi nelíbí a že nechci tady být. Ne, není to právda. Praha je krasné historické město. Ale není to můj dům. Všechno je tady v pořádku, ale když jsem na letišti v Moskvě, tak to mi líp, než když jsem tady. Přesně vím, že každý člověk, který studuje v cizině, někdy tak říká. Proč?! Protože doma je rodina, příbuzné, kamarádi, kamarádky, známé. Protože vy všechno víte a všichni vědí vás. Říká se, že dům může vylečit člověka, když je nemocný. A to také je. Někdy po dlouhému zajímavému odpočínku říkají, že teď chtějí jet domu a „odpočinout od odpočínku"". Protože všude dobře, doma nelépe!
Nedávno jsem četla knihu, hlavní hrdinka které odjela ze svého domu a už něchtěla se nikdy tam vrátit. Což, to také je možné, můžu pochopit, co citila ta hrdinka, který byla moc bohatá, ale za chvílku už nic neměla. Zeptáte  se proč? To je historie, díky které víme, jak žili lidi v době revolucie. Rozumím, proc hlavní hrdinka odjela ze svého státu, vážím se ji, protože vždy pamatovala o svém statu, o svém městě narození. Chtěla bych říct všem lidem na světě, aby se vždy pamatovali o svém domu, častěji navštivili svou rodinu a svých příbuzných, protože všechno na světě záleží na domov a na rodinu. To je nejdražší, co máme. Prosím Vás, nikdy nezapomenejte, že všude dobře, doma nejlépe."	4	1519	B2	B2	female	B1	Russian	B1	B2	0	Czech	B2	B2
PHA0811014	write an essay: No pain no gain - ID: B2PS0202_kolace	"Vite, proč člověk stal člověkom a dosahl všeho, co ma dnes? Protože on se domyslet do teho, že aby v budoucností něco měl, musi teď něco pro to udělat. Jestli nechceš mit hlad , musiš najit něco do jidla. Nechceš, aby byla ti zima? Musiš zabit nějakeho  zviřa a udělat z něho oblek.
Tak, krok za krokem, člověk rozuměl, že, jestli chce mit pěkny život, musi hodně pracovat. Pro sou čast neho člověk už neni duležitost všechno dělat svěma rukama a fizycká pra ce neni největší úloha života. Ale to ne znači, že nemusi dělat nějakou prace. Vědci nemají hodně fizickou praci, ale musí mnohem víc pracovat svou hlavou.
Jeden chlapec na jmeno Auraam se narodil v rodině, ktera teměř nemohla dostat si zlamek chleba. Ten chlapec skončil jen několik třid ve škole, ale, kvůli jeho praci, zname ho jako Auraama Linkolna, jednoho z největšich lidí v historii. Proto, jestli chceme mit pěkny a šťastny život, musime hodně pracovat"	3	1519	B2	B2	male	A2	Other	B1	B1	0	Czech	B1	B2
LIB0611011	write an essay: No pain no gain - ID: B2PS0202_kolace	Myslim že práce velme douležita věc. Protože jsme studujeme, abychom melí dobru a zajmavu práce. A když maš práce mužeš udelat mě peniza a ztratit na věcí, ktery chceš.Ješte dobře udelat svou  firmu, protože budeš pracovat na sabě, a taky budeš met vetši penize a vetší svoubodu než kdy pracuješ na nejakoho řidiča. Ale tento zpuběh je nebezpeční, mužeš ztratít všechí penízé. S dobrem prace mužne ne bude pro tobě těžke nakupovat svuj byt nebo cely dům nebo udelat rodinu. Jsem chcel bych prácovat jako lékař, myslim že to bude zajmava práce pro mě a taky budu mít dobre péníze a s tim mužu pomahat vsym kamaradem a rodině. Ale práce musit byt zajmava pro človeka, ktery pracuje, protože když dloucho pracuješ na ne oblibené práce, mužiš byt nesšastny. Prace je velka čast života človeka.	2	2029	B2	B1	male	A2	Russian	A2	A2	0	Czech	B1	B1
