essay_id	essay_set	essay	essay_score	Age	CEFR level of test	Coherence/Cohesion	Gender	Grammatical accuracy	Mother tongue	Orthography	Overall CEFR rating	Sociolinguistic appropriateness	Test language	Vocabulary control	Vocabulary range
1325_1001044	describe experiences with language learning - ID: 1325_040300-1	"Egregio Gabriella Favati,
Lei scrivo questa lettera perchè ho trovato il Suo annuncio. Come si impara una lingua? Una domanda molto importante. Ho studiato tre lingue straniere. Tedesco da 8 anni, inglese da 5 anni, e italiano da 2 anni. Tra cui inglese è la più importante lingua, ma anche la più facile, che abbia mai studiato.
È una sfortuna, che ho dimenticato di parlare tedesco, ma vorrei svilupparsi. Credo che inglese sia piuttosto facile, perchè questa lingua è usata sull'internet. Ogni bambini dovrebbero studiare almeno 2 lingue. Una nuova lingua apre un nuovo mondo. Si può conoscere nuova gente o paese.
Penso che sia una buona idea di ascoltare musica e guardare i film con sottotitolo. E è anche divertente. Potrebbero anche chiacchiare con la gente inglese. Vorrei coraggiare i bambini di imparare nuove lingue.
Spero che abbia potuto aiutare! MicheleRossi
201110.25 Città X
Michele  Rossi
UNGHERIA
Città X
Strada Maggiore 38"	3	20	B2	B1	male	B2	Hungarian	B2	B1	B1	Italian	B2	B2
1365_0100097	answer to an wedding invitation - ID: 1365_020300	"Cari amici!
Scusate di non rispondervi subito.
Sopratutto grandi congratulazioni, non sapeviamo niente che voi finalmente abbiate deciso sposarvi.
Vogliamo ringraziarvi molto dell'invito, c'era una grande sorpresa per noi. Sfortunatamente al momento del matrimonio dobbiamo andare in Francia, dunque non possiamo venire. Però, noi abbiamo per Voi il regalo - una macchina BMW. Speriamo che possiamo Vi La regalare? Questa macchina è belissima, di colore rosso.
Tanti saluti
M.R."	3	40	B1	B1	male	B1	Polish	C1	B1	B1	Italian	B1	B1
1365_0100011	answer to an wedding invitation - ID: 1365_020300	"Cara Beatrice, caro Stefano,
Siamo tanto contenti per tutti e due, Vi mandiamo gli nostri congratulazioni. Vi ringraziamo dell'invito, ma, purtroppo non veniremo alla chiesa, penso che siamo troppo occupati questo giorno.
Invece, la seratta, Carla e io, saramo al ristorante, ""Da Ciro"", per mangiare e festare. Ci piacerebbe penotare e anzi compare un soggiorno per tutti e due, per una settimana in Calabria, accanto alla spiaggia si sabbia. Ma possiamo farre altra cosa. Aspectiamo la vostra telefonata, Vi abracciamo molto affettuosamente.
Carla"	3	49	B1	B1	male	A2	French	C1	B1	B1	Italian	B1	B1
1395_0001076	go see a friend - ID: 1395_040101	"Ciao Roberto!
Come stai? Oggi scriverti per il mio viaggio di te. Mi ho pensato prenderei il treno da  Città Y per arrivare a Città X. Cosa tu penso? C'é una possibilità mi prendi del binario? Perché con la tua macchina é molto comodo arriviamo a casa tua. E come state la tua famiglia? Tutto a posto? Mi piace che verderci tutti insieme. Ho trovato non molti informazioni di Città X. Tu non scritto com'é la tua cittá! Ma nel un' articolo ho visto stato scritto c'é un bello teatro a Città X. A me piace di vederlo insieme. Anche la seconda te? Se abbiamo nessuna altra cosa ci andiamo li? Ma per oggi devo chiusare. 
Ti abbraccio e un bacio 
 Maria"	2	43	A2	A2	female	A1	German	A2	A2	A2	Italian	A1	A2
1365_0100290	answer to an wedding invitation - ID: 1365_020300	"Cara Beatrice 
Caro Stefano
Oggi ho ricevuto la vostra lettera. Vi ringrazio dell'invito. Ma che bello, vi auguro le cose più belle del mondo. 
Beatrice, il tuo papà mi ha raccontato che sei incinta? Congratulazioni! 
Sentite, per il 20 Novembre, ho provato a trovare qualcuno che fa qualcosa con i bambini. Miei genitori vanno a Calabria e io non posso lasciare i piccoli da soli a casa. 
Adesso volevo chiedere se c'è un problema se vengono con noi alla cerimonia e dopo al ristorante ""Da Ciro""? Sarà molto gentile. 
Per il regalo del Matrimonio, avete bisogno di qualcosa speciale? Forse vi possiamo regalare qualcosa per la casa? O i soldi per le vacanze che avete organizato? 
Spero che ci vediamo al vostro matrimonio. 
Buona giornata e tanti saluti dalla famiglia Rossi. 
                Maria"	3	20	B1	A2	female	B1	German	C1	B1	B1	Italian	B1	B1
1365_0100100	inform oneself about language course - ID: 1365_050401	"Gentili Signori,
per caso ho letto oggi al giornale il vostro annuncio e i vostro corsi mi interressono molto perchè iniziavo ad imparare la lingua italiana tre anni fa. Per me una causa importante di ri rispondere è la combinazione di un corso d'italiano e delle possibilità culturale a Roma. Da molti anno la cultara anticha dell'imperio romano mi interressa e spero che abbia con il vostro corso la possibilità di approfondire le due parte.
Mi piacerei un corso di due o tre settimane a Roma e, se possibile, di abitare in casa privata Credo che sia la migliore possibilità di studiare la lingua, perchè potrei parlare l'italiano anche dopo il corso regolare. Se non sarei possibile di abitare in casa privata, preferirei un alloggio in un appartamento con altri studenti per la causa stessa. 
Ancoro ho bisogno dei loro prezzi a) per un corso di due ed un di tre settimane in Luglio o Augosto e b) per il alloggio per il tempo stesso a casa privata o in appartamento con altri studenti.
In attesa di una risposta, ringrazio e invio cordiali saluti. MicheleRossi"	3	47	B1	B1	male	B1	German	C1	B1	B1	Italian	B2	B1
1365_0100262	answer to an wedding invitation - ID: 1365_020300	"Città X, 25.6.2011
Cara Beatrice,
Caro Stefano,  
Vi auguro cordialmente per il vostro matrimonio!
Sono contentissima che dopo questo periodo lungho - penso che sono almeno otto anni che state insieme - avete deciso di sposarvi. 
Vi ringrazio dell'invito  al vostro matrimonio. Ho già parlato con il mio capo, mi ha detto che posso prendere tre giorni di vacanze. Allora ho prenotato il volo per Napoli subito. Arriverò il 19 Novembre, cosi avrò tempo di prepararmi per la festa e di salutare i vuoi genitori che non ho visto per anni. Sono contentissima!! Non vedo l'ora di rivedervi!!
Che cosa posso regalarvi? Avete una ""lista di nozze"" o desiderate soldi per il vostro viaggio di nozze? (Dove andate - sono curiosa, lo so...) Dite mi pure! Mi piacerebbe farvi un bel regalo per questo giorno speciale.                     -symbol- 
Spero di ricevere presto la vostra risposta / il vostro desiderio!!
A presto!
Vi abbraccio,
Maria"	3	31	B1	B1	female	B1	German	C1	B1	B1	Italian	B2	B2
1325_9000677	inform oneself about an aid project - ID: 1325_030300-1	"Maria Rossi                                                                            Città X, 14.05.2011
Strada Maggiore 23/24 
12345 Città X              SOLIDARIETÀ VIVA 
                                       VIALE BRUZZI 117 
                                       21023 MILANO 
Gentili Signori 
Io sottoscritta Maria Rossi, residente a Città X in Paese X, sono studentessa di Università X (anonymized abbreviation xxx), ho 22 anni. Conosco la lingua italiana. 
Sono libera in periodo dal 3 luglio fino al 20 luglio. 
Mi piacerebbe aiutare la Vostra ""Solidarietà Viva"" per finanziare progetti che realizate in paesi Africani. 
Posso lavorare come venditrice oggetti nei mercatini dell'usato. 
Sono persona comunicativa e mi piacerebbe lavorare con altre persone. Ho la pratica lavorativa nei negozi. Ho lavorato durante le vacanze nel negozio dell'abbilliamento, e supermercati in Paese X. Se c'è anche possibilità mi piacerebbe anche lo studio per riflettere su aspetti particolari dei problemi  legati al sottosviluppo. 
Vi sarei molto grata  se m'inviaste informazioni su questo corso e lo studio. 
Ringraziamento anticipamente, Vi porgo i più distinti saluti. 
Maria Rossi"	3	41	B2	B1	female	B2	Polish	C1	B1	B1	Italian	B2	B2
1385_0001134	reschedule an appointment - ID: 1385_020100	"Ciao Daniele,
Come stai?
Scusi, ma il è una settimana orribile. In ufficio c'è molto lavoro e giovedì pomeriggio non posso incontrarvi con  te.
Ma vorrei andiamo a sabato ser in un ristorante tailandese. Tu andi  in centro a cena e noi mangiamo.
Bono Giornata
Michele"	2	17	A1	A2	male	A2	German	B1	A2	A2	Italian	A2	A2
1385_0001174	help a friend who is looking for work - ID: 1385_040101	"Ciao Michele
Come va? Voglio aiutare ma ho bisogno anche informatione. Quando vuoi cominciare il lavoro? Che lavoro vuoi fare dopo? Perche vuoi cambiare il tuo lavoro? 
Grazie per le risposte e una buona serrata. 
Saluti 
Michele"	2	31	A1	A1	male	A1	German	A2	A2	A2	Italian	A1	A2
