essay_id	essay_set	essay	essay_score	Foreign languages	Genre	Months of PT	Mother tongue	Nationality	Number of words	Topic	Type of text
it051CSITF_2	Last vacations	"As minhas uúltimas férias foram muita divertidas. Fui áa Barcelona por cinco dias, desde o dia 4 de Febereiro até ao dia 10, para visitar a minha amiga FF. Fiquei na casa dela que fica na zona do Raval, perto da Rambla. Foui  lá com outras amigas dela e foui de avião. Visitaámos a cidade a pé. Tivemos muita sorte porque o tempo metereológico foi muito agradaável e então visitaámos muitos monumentos.
A monumento  que gostei mais foi  palao da  muúsica e para mim a melhor zona melhor onde morar é a zona que se chama Graça, mais tivemos o melhor jantar perto da praia, na Barceloneta, num ca restaurante bonitíssimo.
Todas as vezes que me lembro destas feiérias rio muito porque foiforam umas das melhores.
"	1	English,Portuguese	recount	_	Italian	Italian	120	Travel	FT
es101CPMTF	Letter to a Portuguese friend who will visit the informant's country	"Estimado MM! Tudo bem?

Ficas já preparado para  tua viageme tua viagem?
Por acaso vou-te dar alguns conselhos úteis p para  quando leges cá não tenhas nengum provlemaproblema. Procura sair cedo de Lisboa, tipo 6:00 da manhã. Como é verão a temperatura e muito quente e é horrivél ficares na estrada à 13:00 horas. Soò ter de pôr o mínimo de gasolina, em Sevilha ha uma gasolirena baratíssima e podes cheiar   là TrazTrouxe roupa fresca, não precissas de toalhas eu tenho em casa.
Gostaria   ficar antes  contigo mais como estou a trabalhar so consigo legar na sexta-feria. Asim ficas sozinha de segunda a quinta. Como já tens as chaves da minha casa fica a vontade. Eu sei que nos últimos meses tem feito muitos avançes em teu espanhol, mas si não consigues fazer-te entender fala en inglês em inglês.
Então é tudo!
Abraços e até a sexta!
"	3	Portuguese,English	personalLetter	_	Spanish	Spanish	142	Travel	FT
es042CVETD	Last vacations	"As mihnas ultimas ferias feueron a Portugal. Eu fui visitar o Algrave, la playa de Portimao. Despoius vinhe a Lisboa, visitei Sintra e Casscais . NEu costumar asair de casa aos restaurantes conocinhos de comida portuguesa.
Estivem também en Porto que foi lo mais bomito que eu visitei.
Eu adoro elo caracter dos portugueses e   minha familia costumamos fazer féiras por la.
"	2	_	recount	3	Spanish	Spanish	60	Travel	DT
zh008CAATF_1	Legend associated with a Portuguese region	"Viseu é uma região de Portugal. Antigamente, tinha uma Nossa Senhora ali. Por causea dea conquistava pelos Romanciaos, a Ingreja dela foi distribuido destruída. Neste altura, 3 coisas dela foram perdidos. Talvez as fiquem na numas ávores. Muitos anos depois, D. Afonso nasceu, infelizmente, oas pernas dele não pod funcionaram como  outra criança. Um dia, o tio delae tinha teve um sonho, alguém se lhe indicou renovar a Ingreja de Nossa Senhora, buscar as 3 coisas que tinham perdidos e ficava D. Afonso lá durante uma noite. Acabando toudo o que indicou, D. Afonso podia correr nao seguindate dia.
"	4	English	informative	6	Chinese	Chinese	93	Stories and historic events	FT
en008CVMTD	Letter to a friend about beach vacations	"Querido Nuno,
Estou curtindo muito a praia. É um lugar lindo, com areia branca e agua azul. Também não tem muita gente aqui.
Todo  dia acordo bem cedo para aproveitar o sol. Estou fazendo aulas de surf de manhã, e de tarde almoço num restaurante e faço  passeio nos lugares turísticos ou volto para a praia para relaxar. Tem vários barzinhos e clubes aqui para os jovens se divertirem de noite. Já fiz muitas amizades com o povo que mora aqui.
Como vão as coisas na cidade?
Me mande notícias!
Beijos,
Joana
"	3	Portuguese	personalLetter	16	English	American	92	Travel	DT
ja010CAMTD	The labour market situation in the country of the informant	"No Japão, embora esteja dito que a condição económica está a piorar  cada ano desde 2000, ainda está melhor do que a maioria dos países da Ásia. No ano passado, a porcentagem do desemprego melhorou a primeira vez desta nesta deécada. Depois da Guerra Mundial, o Japão estava destruiído completamente mas as pessoas trabalhamram muito e por isso tinha teve  grande crescimento económico em 1970. Dizem que os japoneses trabalham 24/7 24 horas por dia, 7 dias por semana, mas é verdade pois não tinha  jeito exceto de trabalhar para melhorar a economia. Mas a situação está a mudar agora. Têem muitos desempregosados por causa do efeito doa crise mundial ànas empresas mas também existem pessoas desempregadas por que porque já  deixavam tinham deixado o emprego pois faltavam  motivações. Agora este é o problema no Japão, porque se alguém quiser trabalhar só tem que buscar o emprego (embora seja difícil agora) mas se não, tem que começar com a procurar a motivação de trabalhar. Esse tipo dose pessoas que não querem trabalhar nem estudar ou ser treinadas professionalmente é chamado NEET e o nuúmero dos NEETs está a aumentar  cada ano com o dos desempregados. Mas no ano passado, o governo começou a um programa só para NEETs no país para esforçaá-los convencê-los de a trabalhar e por isso mesmo, o por cento a percentagem do desemprego desceu um pouco. Se continuear essae programa e as pessoas começamrem de a trabalhar, acho que a situação deve melhorar no Japão.
"	3	English	informative	30	Japanese	Japanese	226	Society economy and politics	DT
zh099CAETF	E-mail to obtain more information regarding a job application	"Exmo Sr.
Eu queroia ser um funcionário do centro de Explicações Estudolândia. Eu sou chinês e posso falar português, inglês e chinês. E Eu sou trabalhador e estudei em Portugal de 2011 a 2012. Eu gosto muito de crianças muito. Gostava de ser o amigo dos das crianças. Acho que eu sou adequado para você. E Arranjo um em bom p emprego. Ach Penso que, p um bom emprego, pelo menos, é p pago e interessante. Conseigo e ensinar as crianças vários línguas estrangereiras estrangeiras. Enquanto preciso este pr emprego muito. Cumprimentos,
"	2	Portuguese	eMail	24	Chinese	Chinese	76	Daily life	FT
fr003CVMTD	Letter to a friend about beach vacations	"Olaá Nuno,
Como esta? Agora estou a praia Grande  é perto de Sintra. A praia aqui e grande tem muitos rochas e a areia e branco. Mais o mar é muito frio. E uma lugar ideal para praticar o surf.
Os meus dias são cheias, a manhã vou ao gymnasio. durante duas horas, depois vou almoçar com amigos a praia e ficar a tarde. Quando os condiçãoes são bom fpratico surf. As 17h tenho aula de português com o professor em Lisboa durante uma hora e meia e depois volta na casa para jantar.  Vez em quando vou jantar com amigos o restaurante. E ao fim de semana vou no Barro alto para fazer  festa com  meus amigos.
Aqui tem muito occupações: pode fazer natacação, surf jet ski mas tem também possibilidade de relaxar.
A comida portuguesa e muito linda e saudaável e tem bom restaurantes.
Espero que você vai me ver esse verão.
Beijos
FF
"	3	English	personalLetter	24	French	French	165	Travel	DT
es108CPMTI	Letter to a friend telling about the informant's life in Portugal	"Caro Amigo:

Como está tudo a correr no Chile? Há quatro meses que já moro em Lisboa, e posso dizer que tenho as melhores palavras para  esta cidade.

Não digo que às vezes não tenha saudades do meu paiís, pois penso todo o tempo nos amigos, na familia, e lembro com amor aquilo todo.

Mas a vida em Lisboa é agradável. O clima é muito bom, há chuva, mas é tolerável. Nunca está muito frio, o muito calor, até agora.

Estou a lutar dia a dia com o português, tinha a esperanza de fala-lo bêm ja em frevereiro ou março, mas tem tido imposível, acho que é mais complicado do que pensei. A verdade  , tenho, às vezes, vergonha de falar em português, porque penso que ainda não o falo tão bêm; espero chegar ao mês de junho e estar muito mais tranquila con esta bela língua y nao lutar, mas deixar-me levar.

¿Que mais posso contar?

Todos os dias vou a pé à faculdade, ou ao supermercado; tenho estudado muito, mas conheci tambêm alguns lugares como Sintra, Tomar, Belêm e o Oceanário.

Espero receber notícias tuas, e de nossos amigos.

Um abraço!
"	3	English	personalLetter	_	Spanish	Chilean	186	Daily life	IT
en065CVETF	Television and the consumer society	"O debate sempre tem incluído as crianças - e o efeito das novas tecnologias nas vidas deles. Não estou em concordo com o meu médico quem disse que era importante as novas tecnologias eram uma peligroso para as crianças.
Embora, é verdade que as uma crianças que jogam no seu computador m não vai a fazer deportes. Com tudo ele não só fa-los se tem accesso, por ejemplo muitas crianças ingleses não têm accesso aos deportes.
O problema é de forma de vida e a focusar em tecnologias não vai a ajudar. Eu e  meus amigos tinham da dez anos antes que fizemos descubrimos-as e vivimos temos vidas normais. O m A minha mãe disse que o internet, no sua forma maa, ameaçava às crianci crianças - mas o problema ja tinha acabado, com a protecção infanties.
"	2	Spanish	opinion	16	English	British	125	Society economy and politics	DT
